timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
0.558397744,0A1,8,80,80,80,80,64,bf,0b,00
0.559251754,545,8,e4,12,00,88,8b,00,8c,00
0.560073692,220,8,ff,03,f2,03,9f,01,c1,0f
0.560927275,4F0,8,80,00,00,00,00,c5,bc,14
0.561759048,260,8,16,18,00,30,00,65,00,00
0.562586545,545,8,e4,12,00,89,8b,00,8f,00
0.563414469,153,8,00,80,10,ff,00,ff,00,00
0.56423213,1F1,8,00,00,00,00,00,00,00,00
0.56504979,2A0,8,00,00,6a,00,00,00,00,00
0.565881991,220,8,f9,03,ed,03,9f,01,c7,0f
0.566706494,4F0,8,80,00,00,00,00,c5,bc,14
0.567535702,690,8,40,00,01,00,00,00,00,00
0.568366619,316,8,45,18,b2,0c,18,10,00,00
0.569184708,59B,8,00,00,00,00,00,00,00,00
0.569995526,153,8,00,80,10,ff,00,ff,00,00
0.570804634,1F1,8,00,00,00,00,00,00,00,00
0.571746313,43F,8,00,40,60,ff,54,cc,0b,00
0.574375058,220,8,ff,03,ea,03,9f,01,cd,0f
0.577114564,4F0,8,80,00,00,00,00,c5,bc,14
0.579803179,2A0,8,00,00,6a,00,00,00,00,00
0.582441333,370,8,ff,20,00,00,ff,00,00,6c
0.585065802,545,8,e4,12,00,89,8f,00,91,00
0.587683,153,8,00,80,10,ff,00,ff,00,00
0.590783868,0A0,8,3e,65,ba,0c,00,ad,00,00
0.593481464,440,8,ff,00,00,00,ff,cc,0b,00
0.596106788,220,8,f7,03,ed,03,9f,01,c1,0f
0.598815076,428,8,05,00,00,80,65,08,02,00
0.601534482,18F,8,fe,3c,19,00,00,51,00,00
0.60414997,545,8,dc,12,00,89,90,00,95,00
0.607278635,153,8,00,80,10,ff,00,ff,00,00
0.610004028,153,8,00,80,10,ff,00,ff,00,00
0.612644747,18F,8,fe,3c,19,00,00,51,00,00
0.615305994,545,8,dc,12,00,88,90,00,9b,00
0.618054908,153,8,00,80,10,ff,00,ff,00,00
0.620676811,4F0,8,80,00,00,00,00,c5,bc,14
0.623800343,329,8,84,92,80,90,0a,20,00,14
0.626595443,220,8,fa,03,f5,03,9f,01,c1,0f
0.629315277,220,8,ff,03,f4,03,9f,01,c1,0f
0.632032117,350,8,15,13,63,83,88,00,00,6e
0.634730569,2B0,5,c4,ff,00,07,3c,00,00,00
0.637395664,545,8,dc,12,00,89,9a,00,9e,00
0.64060216,153,8,00,80,10,ff,00,ff,00,00
0.643305316,429,8,52,02,00,00,00,00,2d,03
0.645917811,43F,8,00,40,60,ff,54,c8,0b,00
0.648615407,220,8,ff,03,e5,03,9f,01,c1,0f
0.651324122,316,8,45,19,9c,0c,19,10,00,00
0.653952868,0A1,8,80,80,80,80,64,ef,0b,00
0.657155943,43F,8,00,40,60,ff,54,c8,0b,00
0.65987706,545,8,e4,12,00,89,9d,00,9c,00
0.662500245,153,8,00,80,10,ff,00,ff,00,00
0.665218369,0A0,8,40,65,ba,0c,00,ad,00,00
0.667834712,59B,8,00,00,00,00,00,00,00,c4
0.670501518,220,8,f9,03,f2,03,9f,01,c1,0f
0.673817492,350,8,15,13,a3,83,88,00,00,ae
0.676777236,18F,8,fe,3b,19,00,00,51,00,00
0.679683951,4B1,8,00,00,00,00,00,00,00,00
0.682773272,545,8,dc,12,00,89,9b,00,9a,00
0.685647487,4F0,8,80,00,00,00,00,c5,bc,14
0.688771019,2B0,5,c4,ff,00,07,e1,00,00,00
0.690477758,545,8,e4,12,00,88,99,00,9a,00
0.693449476,220,8,ff,03,ed,03,a1,01,c7,0f
0.696453268,316,8,45,19,a0,0c,19,10,00,00
0.699318501,370,8,ff,20,00,00,ff,00,00,a8
0.702428349,4D0,8,00,ff,fa,00,00,00,00,00
0.705809325,1F1,8,00,00,00,00,00,00,00,00
0.708713048,428,8,05,00,00,80,65,08,02,00
0.7116822,329,8,0c,92,80,90,0a,20,00,14
0.714633818,545,8,e4,12,00,89,9a,00,9b,00
0.717540534,153,8,00,80,10,ff,00,ff,00,00
0.7191023,316,8,45,19,a2,0c,19,10,00,00
0.722308369,545,8,e4,12,00,89,9a,00,9a,00
0.725192419,4B1,8,00,00,00,00,00,00,00,00
0.728118379,1F1,8,00,00,00,00,00,00,00,00
0.73101141,260,8,17,19,00,30,00,64,00,00
0.73391727,440,8,ff,50,00,00,ff,c0,0b,00
0.736813723,545,8,dc,12,00,88,99,00,9a,00
0.739664416,153,8,00,80,10,ff,00,ff,00,00
0.742320103,18F,8,fe,3c,19,00,00,51,00,00
0.745053194,545,8,dc,12,00,89,99,00,96,00
0.7477927,4B1,8,00,00,00,00,00,00,00,00
0.750429998,4F0,8,80,00,00,00,00,c5,bc,14
0.75318661,18F,8,fe,3c,19,00,00,51,00,00
0.756446562,545,8,e4,12,00,89,95,00,96,00
0.759148007,316,8,45,19,98,0c,19,10,00,00
0.761896494,153,8,00,80,10,ff,00,ff,00,00
0.764675343,329,8,40,92,80,90,0a,20,00,14
0.767285699,545,8,e4,12,00,88,95,00,92,00
0.769970039,430,8,00,00,00,00,00,00,00,00
0.773028997,690,8,40,00,01,00,00,00,00,00
0.775778766,370,8,ff,20,00,00,ff,00,00,e4
0.778386984,220,8,ff,03,f2,03,9f,01,c1,0f
0.781158563,220,8,ff,03,e9,03,9f,01,c1,0f
0.783779611,350,8,15,13,43,83,88,00,00,4e
