time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
0.742177269,0,316,8,45,1a,92,0d,1a,17,00,00
0.745504362,0,545,8,dc,13,00,89,32,00,35,00
0.74876688,0,220,8,fd,03,ea,03,00,00,d4,0f
0.752042655,0,350,8,27,13,b3,7f,80,00,00,78
0.755321423,0,18F,8,fe,4b,1a,00,00,56,00,00
0.758607889,0,440,8,ff,50,00,00,ff,84,0c,00
0.761418384,0,350,8,27,13,c3,7f,80,00,00,08
0.762815507,0,428,8,05,00,00,80,65,08,02,00
0.76421434,0,545,8,dc,13,00,89,34,00,34,00
0.765487017,0,440,8,ff,a0,00,00,ff,84,0c,00
0.766699823,0,350,8,27,13,d3,7f,80,00,00,18
0.767773644,0,18F,8,fe,4b,1a,00,00,56,00,00
0.769082671,0,43F,8,00,40,60,ff,4c,84,0c,00
0.770275378,0,350,8,27,13,e3,7f,80,00,00,28
0.771452263,0,428,8,05,00,00,80,65,08,02,00
0.792967176,0,329,8,0c,72,7f,90,49,20,00,14
0.79629042,0,545,8,dc,13,00,87,33,00,33,00
0.799366483,0,220,8,ff,03,ef,03,00,00,da,0f
0.802393796,0,316,8,45,1a,92,0d,1a,17,00,00
0.805545553,0,545,8,dc,13,00,89,33,00,35,00
0.808348778,0,440,8,ff,50,00,00,ff,84,0c,00
0.8112726,0,4F0,8,80,00,00,00,00,63,c6,14
0.814142965,0,18F,8,fe,4b,1a,00,00,56,00,00
0.817012476,0,440,8,ff,a0,00,00,ff,84,0c,00
0.82038105,0,350,8,27,13,13,7f,80,00,00,d8
0.823295036,0,220,8,fc,03,ea,03,00,00,da,0f
0.82619833,0,545,8,dc,14,00,89,34,00,36,00
0.829086229,0,220,8,fc,03,ea,03,00,00,e0,0f
0.83196301,0,4F0,8,80,00,00,00,00,63,c6,14
0.835065588,0,0A0,8,45,4e,92,0d,00,ae,00,00
0.838214779,0,4D0,8,00,ff,fa,00,00,00,00,00
0.841168964,0,545,8,dc,14,00,89,35,00,35,00
0.843993999,0,220,8,ff,03,f4,03,00,00,da,0f
0.8468943,0,2B0,5,d9,ff,00,07,30,00,00,00
0.849777495,0,59B,8,00,00,00,00,00,00,00,00
0.852816353,0,4F0,8,80,00,00,00,00,63,c6,14
0.855981368,0,316,8,45,1a,94,0d,1a,17,00,00
0.858795712,0,220,8,fd,03,ef,03,00,00,cd,0f
0.861595516,0,1F1,8,00,00,00,00,00,00,00,00
0.864384201,0,350,8,27,13,53,7f,80,00,00,98
0.867201966,0,2A0,8,00,00,64,00,00,00,00,00
0.870700117,0,440,8,ff,f0,00,00,ff,84,0c,00
0.874228204,0,220,8,ff,03,f4,03,00,00,c7,0f
0.877117386,0,428,8,05,00,00,80,65,08,02,00
0.880011272,0,545,8,dc,14,00,89,33,00,36,00
0.882893612,0,4D0,8,00,ff,fa,00,00,00,00,00
0.885938885,0,350,8,27,13,73,7f,80,00,00,b8
0.889037614,0,0A0,8,45,4e,92,0d,00,ad,00,00
0.891870347,0,545,8,dc,14,00,8a,33,00,36,00
0.894677421,0,440,8,ff,50,00,00,ff,80,0c,00
0.89748364,0,220,8,fd,03,e7,03,00,00,c1,0f
0.899061229,0,329,8,84,72,80,90,49,20,00,14
0.901759253,0,440,8,ff,a0,00,00,ff,88,0c,00
0.904928972,0,350,8,27,13,93,7f,80,00,00,58
0.907776244,0,316,8,45,1a,94,0d,1a,17,00,00
