time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
0.873684237,0,2B0,5,d9,ff,00,07,b8,00,c1,0f
0.874615224,0,440,8,ff,50,00,00,ff,1c,0c,00
0.875516276,0,350,8,1b,13,33,7f,81,00,00,c5
0.87640792,0,545,8,dc,13,00,89,6c,00,6c,00
0.877299564,0,2B0,5,d9,ff,00,07,a9,00,00,c5
0.87819078,0,429,8,55,02,00,00,00,00,2d,03
0.879082423,0,1F1,8,00,00,00,00,00,00,00,00
0.879971501,0,2B0,5,d9,ff,00,07,9a,00,6d,00
0.88086229,0,440,8,ff,f0,00,00,ff,1c,0c,00
0.88175094,0,350,8,1b,13,53,7f,81,00,00,a5
0.882638735,0,220,8,ff,03,f7,03,00,00,c1,0f
0.883527385,0,2B0,5,d9,ff,00,07,8b,00,6d,00
0.884413897,0,428,8,05,00,00,80,65,08,02,00
0.885317514,0,4F0,8,80,00,00,00,00,63,c6,14
0.886297253,0,545,8,dc,13,00,89,6c,00,6d,00
0.887307355,0,43F,8,00,40,60,ff,4e,1c,0c,00
0.888223375,0,350,8,1b,13,73,7f,81,00,00,85
0.889115019,0,18F,8,fe,3a,1a,00,00,54,00,00
0.890005379,0,2B0,5,d9,ff,00,07,ed,00,6d,00
0.890894029,0,440,8,ff,a0,00,00,ff,1c,0c,00
0.89178268,0,4B1,8,00,00,00,00,00,00,00,00
0.892671757,0,545,8,dc,13,00,89,6c,00,6b,00
0.89355998,0,2B0,5,d9,ff,00,07,de,00,00,00
0.894442215,0,350,8,1b,13,93,7f,81,00,00,65
0.89533557,0,316,8,45,19,24,0d,19,13,00,00
0.896220799,0,2B0,5,d9,ff,00,07,cf,00,cd,0f
0.897107311,0,440,8,ff,00,00,00,ff,14,0c,00
0.897992112,0,429,8,55,02,00,00,00,00,2d,03
0.898889743,0,18F,8,fe,3a,19,00,00,54,00,00
0.899856652,0,2B0,5,d9,ff,00,07,30,00,6a,00
0.900783791,0,220,8,ff,03,ef,03,00,00,c1,0f
0.901678428,0,350,8,1b,13,b3,7f,81,00,00,45
0.902598296,0,545,8,dc,13,00,89,69,00,6a,00
0.903586161,0,370,8,ff,20,00,00,ff,00,00,a8
0.904526556,0,429,8,55,02,00,00,00,00,2d,03
0.905415206,0,153,8,00,80,10,ff,00,ff,00,00
0.906305567,0,545,8,dc,13,00,8a,69,00,6c,00
0.907191224,0,440,8,ff,f0,00,00,ff,14,0c,00
0.908076025,0,220,8,fa,03,ef,03,00,00,c1,0f
0.908960826,0,329,8,84,7b,7f,90,09,20,00,14
0.909851615,0,220,8,fa,03,ef,03,00,00,c1,0f
0.910734705,0,350,8,1c,13,e3,7f,81,00,00,12
0.911618651,0,429,8,55,02,00,00,00,00,2d,03
0.912501742,0,4D0,8,00,ff,fa,00,00,00,00,00
0.913384405,0,440,8,ff,50,00,00,ff,20,0c,00
0.914266213,0,153,8,00,80,10,ff,00,ff,00,00
0.91516812,0,2A0,8,00,00,65,00,00,00,00,00
0.91613503,0,2B0,5,d9,ff,00,07,65,00,6b,00
0.917056609,0,440,8,ff,a0,00,00,ff,14,0c,00
0.917942265,0,4F0,8,80,00,00,00,00,63,c6,14
0.918840752,0,153,8,00,80,10,ff,00,ff,00,00
0.91994964,0,43F,8,00,40,60,ff,4e,18,0c,00
0.921003789,0,350,8,1c,13,13,7f,81,00,00,e2
0.921899709,0,0A1,8,80,80,80,80,63,fc,0a,00
0.922787077,0,2B0,5,d9,ff,00,07,47,00,6a,00
0.923673161,0,440,8,ff,00,00,00,ff,28,0c,00
0.924565232,0,429,8,55,02,00,00,00,00,2d,03
0.925450889,0,329,8,ed,7b,7f,90,09,20,00,14
0.926334407,0,1F1,8,00,00,00,00,00,00,00,00
0.927220064,0,350,8,1c,13,33,7f,81,00,00,c2
0.928104438,0,316,8,45,1a,24,0d,1a,14,00,00
0.928990094,0,2B0,5,d9,ff,00,07,a9,00,6c,00
0.929872757,0,440,8,ff,a0,00,00,ff,08,0c,00
0.930757559,0,350,8,1c,13,43,7f,81,00,00,b2
0.931657755,0,0A1,8,80,80,80,80,63,d3,0a,00
0.932617395,0,2B0,5,d9,ff,00,07,9a,00,6c,00
0.933544106,0,1F1,8,00,00,00,00,00,00,00,00
0.93445927,0,350,8,1c,13,53,7f,81,00,00,a2
0.935344927,0,545,8,dc,13,00,89,6b,00,6b,00
0.936228873,0,4F0,8,80,00,00,00,00,63,c6,14
0.937227,0,350,8,1c,13,63,7f,81,00,00,92
0.938129335,0,0A0,8,43,54,22,0d,00,ad,00,00
0.939019696,0,2B0,5,d9,ff,00,07,fc,00,68,00
0.93990407,0,430,8,00,00,00,00,00,00,00,00
0.940788871,0,350,8,1b,13,73,7f,81,00,00,85
0.941674528,0,329,8,0c,7b,7f,90,09,20,00,14
0.94255548,0,2B0,5,d9,ff,00,07,ed,00,da,0f
0.943441137,0,429,8,55,02,00,00,00,00,2d,03
0.944322517,0,220,8,fc,03,ed,03,00,00,d4,0f
0.94520518,0,2B0,5,d9,ff,00,07,de,00,69,00
0.94608656,0,440,8,ff,f0,00,00,ff,20,0c,00
0.946968796,0,1F1,8,00,00,00,00,00,00,00,00
0.947851459,0,260,8,16,19,00,30,00,61,00,00
0.948753794,0,220,8,ff,03,ea,03,00,00,c7,0f
0.94973952,0,440,8,ff,00,00,00,ff,20,0c,00
0.950662382,0,4F0,8,80,00,00,00,00,63,c6,14
0.951550177,0,329,8,40,7b,7f,90,09,20,00,14
0.952437116,0,2B0,5,d9,ff,00,07,30,00,6c,00
0.953448073,0,220,8,fa,03,f1,03,00,00,c1,0f
0.954391035,0,0A0,8,43,54,2a,0d,00,ad,00,00
0.955283534,0,2B0,5,d9,ff,00,07,21,00,6c,00
0.956174322,0,440,8,ff,a0,00,00,ff,18,0c,00
0.957066393,0,429,8,55,02,00,00,00,00,2d,03
0.957952478,0,153,8,00,80,10,ff,00,ff,00,00
0.958841983,0,2B0,5,d9,ff,00,07,12,00,6e,00
0.959727212,0,440,8,ff,f0,00,00,ff,1c,0c,00
0.960614579,0,1F1,8,00,00,00,00,00,00,00,00
0.961508361,0,545,8,dc,13,00,89,6d,00,6d,00
0.962396156,0,153,8,00,80,10,ff,00,ff,00,00
0.96328053,0,429,8,55,02,00,00,00,00,2d,03
0.964164048,0,18F,8,fe,3a,1a,00,00,54,00,00
0.965081351,0,2B0,5,d9,ff,00,07,74,00,c1,0f
0.966045267,0,440,8,ff,50,00,00,ff,20,0c,00
0.966970267,0,153,8,00,80,10,ff,00,ff,00,00
0.967863621,0,4D0,8,00,ff,fa,00,00,00,00,00
0.968749705,0,4F0,8,80,00,00,00,00,63,c6,14
0.969856456,0,429,8,55,02,00,00,00,00,2d,03
0.97086784,0,0A0,8,43,54,2a,0d,00,ae,00,00
0.971765043,0,2B0,5,d9,ff,00,07,56,00,6b,00
0.972659253,0,440,8,ff,f0,00,00,ff,20,0c,00
0.97354662,0,350,8,1b,13,03,7f,81,00,00,f5
0.974436126,0,260,8,17,1a,00,30,00,62,00,00
0.975323493,0,545,8,dc,13,00,89,6a,00,6c,00
0.976211288,0,428,8,05,00,00,80,65,08,02,00
0.97709951,0,220,8,fd,03,f4,03,00,00,c1,0f
0.977988588,0,545,8,dc,13,00,8a,6a,00,6c,00
0.978876811,0,370,8,ff,20,00,00,ff,00,00,e4
0.979766744,0,350,8,1b,13,23,7f,81,00,00,d5
0.980683619,0,18F,8,fe,3a,1a,00,00,54,00,00
0.981572696,0,545,8,dc,13,00,89,6b,00,6c,00
0.982481446,0,350,8,1b,13,33,7f,81,00,00,c5
0.98344579,0,220,8,ff,03,ec,03,00,00,c1,0f
0.984372073,0,329,8,ed,7b,7f,90,09,20,00,14
0.985262434,0,2B0,5,d9,ff,00,07,9a,00,6c,00
1.219871637,0,59B,8,00,00,00,00,00,00,00,c4
1.223454035,0,0A0,8,43,54,2a,0d,00,ad,00,00
1.22681705,0,2B0,5,d9,ff,00,07,8b,00,00,00
1.230112496,0,440,8,ff,00,00,00,ff,18,0c,00
1.231545541,0,429,8,55,02,00,00,00,00,2d,03
1.232937104,0,2A0,8,00,00,65,00,00,00,00,00
1.234225604,0,2B0,5,d9,ff,00,07,fc,00,66,00
1.235447391,0,220,8,fd,03,e7,03,00,00,c7,0f
1.236844513,0,316,8,45,19,2e,0d,19,13,00,00
1.238097946,0,545,8,dc,13,00,89,65,00,66,00
1.239283811,0,43F,8,00,40,60,ff,4e,1c,0c,00
1.240464971,0,429,8,55,02,00,00,00,00,2d,03
1.241584551,0,153,8,00,80,10,ff,00,ff,00,00
1.2426387,0,2B0,5,d9,ff,00,07,de,00,67,00
1.243527778,0,350,8,1b,13,83,7f,81,00,00,75
1.244412152,0,220,8,fd,03,f2,03,00,00,c1,0f
1.245298664,0,545,8,dc,13,00,8a,66,00,67,00
1.246200143,0,220,8,fd,03,f2,03,00,00,c1,0f
1.247089649,0,428,8,05,00,00,80,65,08,02,00
1.247977444,0,316,8,45,19,28,0d,19,13,00,00
1.248862245,0,2B0,5,d9,ff,00,07,30,00,6a,00
1.249748329,0,440,8,ff,50,00,00,ff,20,0c,00
1.250666059,0,220,8,ff,03,ea,03,00,00,c7,0f
1.251635535,0,2A0,8,00,00,65,00,00,00,00,00
1.252558397,0,2B0,5,d9,ff,00,07,21,00,6a,00
1.25354284,0,4D0,8,00,ff,fa,00,00,00,00,00
1.254466985,0,1F1,8,00,00,00,00,00,00,00,00
1.255359911,0,153,8,00,80,10,ff,00,ff,00,00
1.256253693,0,43F,8,00,40,60,ff,4e,20,0c,00
1.257139778,0,350,8,1b,13,c3,7f,81,00,00,35
1.258027145,0,0A0,8,42,54,28,0d,00,ad,00,00
1.258913657,0,2B0,5,d9,ff,00,07,03,00,67,00
1.259796748,0,350,8,1b,13,d3,7f,81,00,00,25
1.260679411,0,4F0,8,80,00,00,00,00,63,c6,14
1.261575331,0,545,8,dc,13,00,89,66,00,67,00
1.262461843,0,220,8,fd,03,e7,03,00,00,c7,0f
1.263358191,0,350,8,1b,13,e3,7f,81,00,00,15
1.264244275,0,316,8,45,19,28,0d,19,13,00,00
1.265148748,0,2B0,5,d9,ff,00,07,65,00,69,00
1.266111809,0,440,8,ff,a0,00,00,ff,1c,0c,00
1.267027828,0,4D0,8,00,ff,fa,00,00,00,00,00
1.267920327,0,260,8,16,19,00,30,00,62,00,00
1.268808122,0,2B0,5,d9,ff,00,07,56,00,69,00
1.269928984,0,350,8,1b,13,03,7f,81,00,00,f5
1.270884775,0,316,8,45,19,2a,0d,19,13,00,00
1.27177984,0,545,8,dc,13,00,89,68,00,68,00
1.272669346,0,43F,8,00,40,60,ff,4e,20,0c,00
1.273560989,0,429,8,55,02,00,00,00,00,2d,03
1.274452633,0,0A1,8,80,80,80,80,63,9a,0c,00
1.275341711,0,2B0,5,d9,ff,00,07,b8,00,68,00
1.276229078,0,440,8,ff,50,00,00,ff,1c,0c,00
1.27713184,0,350,8,1b,13,23,7f,81,00,00,d5
1.278023484,0,545,8,dc,13,00,8a,67,00,67,00
1.278915983,0,4F0,8,80,00,00,00,00,63,c6,14
1.279807199,0,429,8,55,02,00,00,00,00,2d,03
1.280695422,0,316,8,45,19,2c,0d,19,13,00,00
1.28158621,0,545,8,dc,13,00,8a,67,00,67,00
1.282497098,0,440,8,ff,f0,00,00,ff,2c,0c,00
1.283604703,0,220,8,fd,03,e9,03,00,00,c1,0f
1.284543388,0,260,8,16,19,00,30,00,62,00,00
1.285440164,0,220,8,fd,03,e9,03,00,00,c1,0f
1.286528525,0,350,8,1b,13,53,7f,81,00,00,a5
1.287550173,0,429,8,55,02,00,00,00,00,2d,03
1.28844481,0,329,8,84,7b,7f,90,09,20,00,14
1.289333888,0,43F,8,00,40,60,ff,4e,20,0c,00
1.290219972,0,220,8,fd,03,f7,03,00,00,c1,0f
1.291103063,0,0A1,8,80,80,80,80,63,bf,0b,00
1.291982305,0,2B0,5,d9,ff,00,07,ed,00,6a,00
1.293120273,0,440,8,ff,a0,00,00,ff,18,0c,00
1.294034582,0,429,8,55,02,00,00,00,00,2d,03
1.294930075,0,153,8,00,80,10,ff,00,ff,00,00
1.295821719,0,545,8,dc,13,00,89,69,00,6b,00
1.296710369,0,350,8,1b,13,83,7f,81,00,00,75
1.297596881,0,220,8,ff,03,e7,03,00,00,c7,0f
1.298487242,0,545,8,dc,13,00,89,6a,00,6b,00
1.299388293,0,153,8,00,80,10,ff,00,ff,00,00
1.300357769,0,429,8,55,02,00,00,00,00,2d,03
1.30128619,0,18F,8,fe,3a,19,00,00,54,00,00
1.302177406,0,1F1,8,00,00,00,00,00,00,00,00
